Wed Nov 15 2017 08:58:49 GMT+0600 (Bangladesh Standard Time), Line 1, 30.85 C
Wed Nov 15 2017 09:00:53 GMT+0600 (Bangladesh Standard Time), Line 2, 32.57 C
Wed Nov 15 2017 09:00:53 GMT+0600 (Bangladesh Standard Time), Line 4, 32.31 C
Wed Nov 15 2017 09:00:54 GMT+0600 (Bangladesh Standard Time), Line 5, 44.33 C
Wed Nov 15 2017 09:00:55 GMT+0600 (Bangladesh Standard Time), Line 2, 43.39 C
Wed Nov 15 2017 09:00:55 GMT+0600 (Bangladesh Standard Time), Line 3, 97.87 C
Wed Nov 15 2017 09:00:55 GMT+0600 (Bangladesh Standard Time), Line 6, 39.89 C
Wed Nov 15 2017 09:00:56 GMT+0600 (Bangladesh Standard Time), Line 7, 32.92 C
Wed Nov 15 2017 09:00:57 GMT+0600 (Bangladesh Standard Time), Line 4, 90.93 C
Wed Nov 15 2017 09:00:57 GMT+0600 (Bangladesh Standard Time), Line 8, 37.53 C
Wed Nov 15 2017 09:00:58 GMT+0600 (Bangladesh Standard Time), Line 3, 48.72 C
Wed Nov 15 2017 09:00:58 GMT+0600 (Bangladesh Standard Time), Line 9, 40.54 C
Wed Nov 15 2017 09:00:59 GMT+0600 (Bangladesh Standard Time), Line 5, 30.88 C
Wed Nov 15 2017 09:00:59 GMT+0600 (Bangladesh Standard Time), Line 10, 39.62 C
Wed Nov 15 2017 09:01:01 GMT+0600 (Bangladesh Standard Time), Line 4, 86.45 C
Wed Nov 15 2017 09:01:01 GMT+0600 (Bangladesh Standard Time), Line 6, 75.83 C
Wed Nov 15 2017 09:01:03 GMT+0600 (Bangladesh Standard Time), Line 7, 75.93 C
Wed Nov 15 2017 09:01:04 GMT+0600 (Bangladesh Standard Time), Line 5, 91.54 C
Wed Nov 15 2017 09:01:05 GMT+0600 (Bangladesh Standard Time), Line 8, 19.59 C
Wed Nov 15 2017 09:01:07 GMT+0600 (Bangladesh Standard Time), Line 6, 40.59 C
Wed Nov 15 2017 09:01:07 GMT+0600 (Bangladesh Standard Time), Line 9, 82.87 C
Wed Nov 15 2017 09:01:09 GMT+0600 (Bangladesh Standard Time), Line 10, 22.06 C
Wed Nov 15 2017 09:01:10 GMT+0600 (Bangladesh Standard Time), Line 7, 64.63 C
Wed Nov 15 2017 09:01:13 GMT+0600 (Bangladesh Standard Time), Line 8, 99.43 C
Wed Nov 15 2017 09:01:16 GMT+0600 (Bangladesh Standard Time), Line 9, 85.57 C
Wed Nov 15 2017 09:01:19 GMT+0600 (Bangladesh Standard Time), Line 10, 60.15 C
Wed Nov 15 2017 09:07:09 GMT+0600 (Bangladesh Standard Time), Line 1, 35.70 C
Wed Nov 15 2017 09:07:10 GMT+0600 (Bangladesh Standard Time), Line 1, 15.71 C
Wed Nov 15 2017 09:07:10 GMT+0600 (Bangladesh Standard Time), Line 2, 31.08 C
Wed Nov 15 2017 09:07:11 GMT+0600 (Bangladesh Standard Time), Line 1, 86.34 C
Wed Nov 15 2017 09:07:11 GMT+0600 (Bangladesh Standard Time), Line 3, 41.77 C
Wed Nov 15 2017 09:07:12 GMT+0600 (Bangladesh Standard Time), Line 2, 97.42 C
Wed Nov 15 2017 09:07:12 GMT+0600 (Bangladesh Standard Time), Line 4, 41.46 C
Wed Nov 15 2017 09:07:13 GMT+0600 (Bangladesh Standard Time), Line 5, 42.39 C
Wed Nov 15 2017 09:07:14 GMT+0600 (Bangladesh Standard Time), Line 2, 81.76 C
Wed Nov 15 2017 09:07:14 GMT+0600 (Bangladesh Standard Time), Line 3, 88.99 C
Wed Nov 15 2017 09:07:14 GMT+0600 (Bangladesh Standard Time), Line 6, 42.60 C
Wed Nov 15 2017 09:07:15 GMT+0600 (Bangladesh Standard Time), Line 7, 42.46 C
Wed Nov 15 2017 09:07:16 GMT+0600 (Bangladesh Standard Time), Line 4, 62.26 C
Wed Nov 15 2017 09:07:16 GMT+0600 (Bangladesh Standard Time), Line 8, 33.76 C
Wed Nov 15 2017 09:07:17 GMT+0600 (Bangladesh Standard Time), Line 3, 85.03 C
Wed Nov 15 2017 09:07:17 GMT+0600 (Bangladesh Standard Time), Line 9, 43.29 C
Wed Nov 15 2017 09:07:18 GMT+0600 (Bangladesh Standard Time), Line 5, 83.30 C
Wed Nov 15 2017 09:07:18 GMT+0600 (Bangladesh Standard Time), Line 10, 43.10 C
Wed Nov 15 2017 09:07:20 GMT+0600 (Bangladesh Standard Time), Line 4, 59.93 C
Wed Nov 15 2017 09:07:20 GMT+0600 (Bangladesh Standard Time), Line 6, 97.32 C
Wed Nov 15 2017 09:07:22 GMT+0600 (Bangladesh Standard Time), Line 7, 78.08 C
Wed Nov 15 2017 09:07:23 GMT+0600 (Bangladesh Standard Time), Line 5, 86.69 C
Wed Nov 15 2017 09:07:24 GMT+0600 (Bangladesh Standard Time), Line 8, 81.76 C
Wed Nov 15 2017 09:07:26 GMT+0600 (Bangladesh Standard Time), Line 6, 76.07 C
Wed Nov 15 2017 09:07:26 GMT+0600 (Bangladesh Standard Time), Line 9, 13.64 C
Wed Nov 15 2017 09:07:28 GMT+0600 (Bangladesh Standard Time), Line 10, 9.93 C
Wed Nov 15 2017 09:07:29 GMT+0600 (Bangladesh Standard Time), Line 7, 92.31 C
Wed Nov 15 2017 09:07:32 GMT+0600 (Bangladesh Standard Time), Line 8, 64.86 C
Wed Nov 15 2017 09:07:35 GMT+0600 (Bangladesh Standard Time), Line 9, 64.10 C
Wed Nov 15 2017 09:07:38 GMT+0600 (Bangladesh Standard Time), Line 10, 86.16 C
Wed Nov 15 2017 09:08:46 GMT+0600 (Bangladesh Standard Time), Line 1, 33.06 C
Wed Nov 15 2017 09:08:47 GMT+0600 (Bangladesh Standard Time), Line 1, 66.37 C
Wed Nov 15 2017 09:08:47 GMT+0600 (Bangladesh Standard Time), Line 2, 33.41 C
Wed Nov 15 2017 09:08:48 GMT+0600 (Bangladesh Standard Time), Line 1, 63.89 C
Wed Nov 15 2017 09:08:48 GMT+0600 (Bangladesh Standard Time), Line 3, 36.06 C
Wed Nov 15 2017 09:08:49 GMT+0600 (Bangladesh Standard Time), Line 2, 70.63 C
Wed Nov 15 2017 09:08:49 GMT+0600 (Bangladesh Standard Time), Line 4, 32.56 C
Wed Nov 15 2017 09:08:50 GMT+0600 (Bangladesh Standard Time), Line 5, 30.77 C
Wed Nov 15 2017 09:08:51 GMT+0600 (Bangladesh Standard Time), Line 2, 49.40 C
Wed Nov 15 2017 09:08:51 GMT+0600 (Bangladesh Standard Time), Line 3, 6.75 C
Wed Nov 15 2017 09:08:51 GMT+0600 (Bangladesh Standard Time), Line 6, 30.42 C
Wed Nov 15 2017 09:08:52 GMT+0600 (Bangladesh Standard Time), Line 7, 30.72 C
Wed Nov 15 2017 09:08:53 GMT+0600 (Bangladesh Standard Time), Line 4, 2.26 C
Wed Nov 15 2017 09:08:53 GMT+0600 (Bangladesh Standard Time), Line 8, 37.68 C
Wed Nov 15 2017 09:08:54 GMT+0600 (Bangladesh Standard Time), Line 3, 50.78 C
Wed Nov 15 2017 09:08:54 GMT+0600 (Bangladesh Standard Time), Line 9, 44.82 C
Wed Nov 15 2017 09:08:55 GMT+0600 (Bangladesh Standard Time), Line 5, 98.79 C
Wed Nov 15 2017 09:08:55 GMT+0600 (Bangladesh Standard Time), Line 10, 42.53 C
Wed Nov 15 2017 09:08:56 GMT+0600 (Bangladesh Standard Time), Line 11, 41.52 C
Wed Nov 15 2017 09:08:57 GMT+0600 (Bangladesh Standard Time), Line 4, 52.09 C
Wed Nov 15 2017 09:08:57 GMT+0600 (Bangladesh Standard Time), Line 6, 8.51 C
Wed Nov 15 2017 09:08:57 GMT+0600 (Bangladesh Standard Time), Line 12, 42.11 C
Wed Nov 15 2017 09:08:58 GMT+0600 (Bangladesh Standard Time), Line 13, 35.55 C
Wed Nov 15 2017 09:08:59 GMT+0600 (Bangladesh Standard Time), Line 7, 80.54 C
Wed Nov 15 2017 09:08:59 GMT+0600 (Bangladesh Standard Time), Line 14, 38.02 C
Wed Nov 15 2017 09:09:00 GMT+0600 (Bangladesh Standard Time), Line 5, 56.23 C
Wed Nov 15 2017 09:09:00 GMT+0600 (Bangladesh Standard Time), Line 15, 42.53 C
Wed Nov 15 2017 09:09:01 GMT+0600 (Bangladesh Standard Time), Line 8, 53.86 C
Wed Nov 15 2017 09:09:01 GMT+0600 (Bangladesh Standard Time), Line 16, 44.27 C
Wed Nov 15 2017 09:09:02 GMT+0600 (Bangladesh Standard Time), Line 17, 32.33 C
Wed Nov 15 2017 09:09:03 GMT+0600 (Bangladesh Standard Time), Line 6, 60.09 C
Wed Nov 15 2017 09:09:03 GMT+0600 (Bangladesh Standard Time), Line 9, 31.80 C
Wed Nov 15 2017 09:09:03 GMT+0600 (Bangladesh Standard Time), Line 18, 38.52 C
Wed Nov 15 2017 09:09:04 GMT+0600 (Bangladesh Standard Time), Line 19, 36.46 C
Wed Nov 15 2017 09:09:05 GMT+0600 (Bangladesh Standard Time), Line 10, 98.07 C
Wed Nov 15 2017 09:09:05 GMT+0600 (Bangladesh Standard Time), Line 20, 37.26 C
Wed Nov 15 2017 09:09:06 GMT+0600 (Bangladesh Standard Time), Line 7, 53.32 C
Wed Nov 15 2017 09:09:06 GMT+0600 (Bangladesh Standard Time), Line 21, 30.54 C
Wed Nov 15 2017 09:09:07 GMT+0600 (Bangladesh Standard Time), Line 11, 30.52 C
Wed Nov 15 2017 09:09:07 GMT+0600 (Bangladesh Standard Time), Line 22, 30.70 C
Wed Nov 15 2017 09:09:08 GMT+0600 (Bangladesh Standard Time), Line 23, 39.34 C
Wed Nov 15 2017 09:09:09 GMT+0600 (Bangladesh Standard Time), Line 8, 54.60 C
Wed Nov 15 2017 09:09:09 GMT+0600 (Bangladesh Standard Time), Line 12, 57.48 C
Wed Nov 15 2017 09:09:09 GMT+0600 (Bangladesh Standard Time), Line 24, 42.17 C
Wed Nov 15 2017 09:09:10 GMT+0600 (Bangladesh Standard Time), Line 25, 42.47 C
Wed Nov 15 2017 09:09:11 GMT+0600 (Bangladesh Standard Time), Line 13, 62.33 C
Wed Nov 15 2017 09:09:11 GMT+0600 (Bangladesh Standard Time), Line 26, 36.80 C
Wed Nov 15 2017 09:09:12 GMT+0600 (Bangladesh Standard Time), Line 9, 84.73 C
Wed Nov 15 2017 09:09:12 GMT+0600 (Bangladesh Standard Time), Line 27, 33.53 C
Wed Nov 15 2017 09:09:13 GMT+0600 (Bangladesh Standard Time), Line 14, 93.86 C
Wed Nov 15 2017 09:09:13 GMT+0600 (Bangladesh Standard Time), Line 28, 40.99 C
Wed Nov 15 2017 09:09:14 GMT+0600 (Bangladesh Standard Time), Line 29, 31.12 C
Wed Nov 15 2017 09:09:15 GMT+0600 (Bangladesh Standard Time), Line 10, 99.13 C
Wed Nov 15 2017 09:09:15 GMT+0600 (Bangladesh Standard Time), Line 15, 91.70 C
Wed Nov 15 2017 09:09:15 GMT+0600 (Bangladesh Standard Time), Line 30, 35.68 C
Wed Nov 15 2017 09:09:16 GMT+0600 (Bangladesh Standard Time), Line 31, 39.87 C
Wed Nov 15 2017 09:09:17 GMT+0600 (Bangladesh Standard Time), Line 16, 31.37 C
Wed Nov 15 2017 09:09:17 GMT+0600 (Bangladesh Standard Time), Line 32, 32.98 C
Wed Nov 15 2017 09:09:18 GMT+0600 (Bangladesh Standard Time), Line 11, 93.88 C
Wed Nov 15 2017 09:09:18 GMT+0600 (Bangladesh Standard Time), Line 33, 38.58 C
Wed Nov 15 2017 09:09:19 GMT+0600 (Bangladesh Standard Time), Line 17, 66.33 C
Wed Nov 15 2017 09:09:19 GMT+0600 (Bangladesh Standard Time), Line 34, 36.79 C
Wed Nov 15 2017 09:09:20 GMT+0600 (Bangladesh Standard Time), Line 35, 37.48 C
Wed Nov 15 2017 09:09:21 GMT+0600 (Bangladesh Standard Time), Line 12, 56.51 C
Wed Nov 15 2017 09:09:21 GMT+0600 (Bangladesh Standard Time), Line 18, 93.12 C
Wed Nov 15 2017 09:09:21 GMT+0600 (Bangladesh Standard Time), Line 36, 42.07 C
Wed Nov 15 2017 09:09:22 GMT+0600 (Bangladesh Standard Time), Line 37, 37.07 C
Wed Nov 15 2017 09:09:23 GMT+0600 (Bangladesh Standard Time), Line 19, 17.80 C
Wed Nov 15 2017 09:09:23 GMT+0600 (Bangladesh Standard Time), Line 38, 37.41 C
Wed Nov 15 2017 09:09:24 GMT+0600 (Bangladesh Standard Time), Line 13, 48.71 C
Wed Nov 15 2017 09:09:24 GMT+0600 (Bangladesh Standard Time), Line 39, 30.45 C
Wed Nov 15 2017 09:15:23 GMT+0600 (Bangladesh Standard Time), Line 1, 31.72 C
Wed Nov 15 2017 09:15:24 GMT+0600 (Bangladesh Standard Time), Line 1, 82.80 
Wed Nov 15 2017 09:15:24 GMT+0600 (Bangladesh Standard Time), Line 2, 33.69 C
Wed Nov 15 2017 09:15:25 GMT+0600 (Bangladesh Standard Time), Line 1, 67.41 %
Wed Nov 15 2017 09:15:25 GMT+0600 (Bangladesh Standard Time), Line 3, 33.65 C
Wed Nov 15 2017 09:15:26 GMT+0600 (Bangladesh Standard Time), Line 2, 94.38 
Wed Nov 15 2017 09:15:26 GMT+0600 (Bangladesh Standard Time), Line 4, 37.60 C
Wed Nov 15 2017 09:15:27 GMT+0600 (Bangladesh Standard Time), Line 5, 39.13 C
Wed Nov 15 2017 09:15:28 GMT+0600 (Bangladesh Standard Time), Line 2, 72.27 %
Wed Nov 15 2017 09:15:28 GMT+0600 (Bangladesh Standard Time), Line 3, 65.99 
Wed Nov 15 2017 09:15:28 GMT+0600 (Bangladesh Standard Time), Line 6, 41.37 C
Wed Nov 15 2017 09:15:29 GMT+0600 (Bangladesh Standard Time), Line 7, 32.52 C
Wed Nov 15 2017 09:15:30 GMT+0600 (Bangladesh Standard Time), Line 4, 27.38 
Wed Nov 15 2017 09:15:30 GMT+0600 (Bangladesh Standard Time), Line 8, 39.32 C
Wed Nov 15 2017 09:15:31 GMT+0600 (Bangladesh Standard Time), Line 3, 75.92 %
Wed Nov 15 2017 09:15:31 GMT+0600 (Bangladesh Standard Time), Line 9, 32.43 C
Wed Nov 15 2017 09:15:32 GMT+0600 (Bangladesh Standard Time), Line 5, 96.31 
Wed Nov 15 2017 09:15:33 GMT+0600 (Bangladesh Standard Time), Line 10, 42.42 C
Wed Nov 15 2017 09:15:34 GMT+0600 (Bangladesh Standard Time), Line 11, 38.25 C
Wed Nov 15 2017 09:15:34 GMT+0600 (Bangladesh Standard Time), Line 4, 48.56 %
Wed Nov 15 2017 09:15:34 GMT+0600 (Bangladesh Standard Time), Line 6, 62.75 
Wed Nov 15 2017 09:15:35 GMT+0600 (Bangladesh Standard Time), Line 12, 41.40 C
Wed Nov 15 2017 09:15:36 GMT+0600 (Bangladesh Standard Time), Line 13, 38.66 C
Wed Nov 15 2017 09:15:36 GMT+0600 (Bangladesh Standard Time), Line 7, 71.11 
Wed Nov 15 2017 09:15:37 GMT+0600 (Bangladesh Standard Time), Line 14, 37.68 C
Wed Nov 15 2017 09:15:37 GMT+0600 (Bangladesh Standard Time), Line 5, 45.37 %
Wed Nov 15 2017 09:15:38 GMT+0600 (Bangladesh Standard Time), Line 15, 44.14 C
Wed Nov 15 2017 09:15:38 GMT+0600 (Bangladesh Standard Time), Line 8, 28.26 
Wed Nov 15 2017 09:15:39 GMT+0600 (Bangladesh Standard Time), Line 16, 35.56 C
Wed Nov 15 2017 09:15:40 GMT+0600 (Bangladesh Standard Time), Line 17, 30.76 C
Wed Nov 15 2017 09:15:40 GMT+0600 (Bangladesh Standard Time), Line 6, 87.01 %
Wed Nov 15 2017 09:15:40 GMT+0600 (Bangladesh Standard Time), Line 9, 2.51 
Wed Nov 15 2017 09:15:41 GMT+0600 (Bangladesh Standard Time), Line 18, 35.33 C
Wed Nov 15 2017 09:15:42 GMT+0600 (Bangladesh Standard Time), Line 19, 31.95 C
Wed Nov 15 2017 09:15:42 GMT+0600 (Bangladesh Standard Time), Line 10, 4.48 
Wed Nov 15 2017 09:15:43 GMT+0600 (Bangladesh Standard Time), Line 20, 34.04 C
Wed Nov 15 2017 09:15:43 GMT+0600 (Bangladesh Standard Time), Line 7, 72.18 %
Wed Nov 15 2017 09:15:44 GMT+0600 (Bangladesh Standard Time), Line 21, 42.55 C
Wed Nov 15 2017 09:15:45 GMT+0600 (Bangladesh Standard Time), Line 11, 59.13 
Wed Nov 15 2017 09:15:45 GMT+0600 (Bangladesh Standard Time), Line 22, 31.14 C
Wed Nov 15 2017 09:15:46 GMT+0600 (Bangladesh Standard Time), Line 23, 31.86 C
Wed Nov 15 2017 09:15:46 GMT+0600 (Bangladesh Standard Time), Line 8, 83.91 %
Wed Nov 15 2017 09:15:47 GMT+0600 (Bangladesh Standard Time), Line 12, 47.40 
Wed Nov 15 2017 09:15:47 GMT+0600 (Bangladesh Standard Time), Line 24, 30.91 C
Wed Nov 15 2017 09:15:48 GMT+0600 (Bangladesh Standard Time), Line 25, 34.99 C
Wed Nov 15 2017 09:15:49 GMT+0600 (Bangladesh Standard Time), Line 13, 21.66 
Wed Nov 15 2017 09:15:49 GMT+0600 (Bangladesh Standard Time), Line 26, 31.69 C
Wed Nov 15 2017 09:15:49 GMT+0600 (Bangladesh Standard Time), Line 9, 88.94 %
Wed Nov 15 2017 09:15:50 GMT+0600 (Bangladesh Standard Time), Line 27, 36.11 C
Wed Nov 15 2017 09:15:51 GMT+0600 (Bangladesh Standard Time), Line 14, 16.38 
Wed Nov 15 2017 09:15:51 GMT+0600 (Bangladesh Standard Time), Line 28, 41.27 C
Wed Nov 15 2017 09:15:52 GMT+0600 (Bangladesh Standard Time), Line 29, 32.33 C
Wed Nov 15 2017 09:15:52 GMT+0600 (Bangladesh Standard Time), Line 10, 40.56 %
Wed Nov 15 2017 09:15:53 GMT+0600 (Bangladesh Standard Time), Line 15, 27.47 
Wed Nov 15 2017 09:15:53 GMT+0600 (Bangladesh Standard Time), Line 30, 39.25 C
Wed Nov 15 2017 09:15:54 GMT+0600 (Bangladesh Standard Time), Line 31, 41.96 C
Wed Nov 15 2017 09:15:55 GMT+0600 (Bangladesh Standard Time), Line 16, 67.58 
Wed Nov 15 2017 09:15:55 GMT+0600 (Bangladesh Standard Time), Line 32, 35.08 C
Wed Nov 15 2017 09:15:55 GMT+0600 (Bangladesh Standard Time), Line 11, 52.83 %
Wed Nov 15 2017 09:15:56 GMT+0600 (Bangladesh Standard Time), Line 33, 42.63 C
Wed Nov 15 2017 09:15:57 GMT+0600 (Bangladesh Standard Time), Line 17, 3.45 
Wed Nov 15 2017 09:15:57 GMT+0600 (Bangladesh Standard Time), Line 34, 43.24 C
Wed Nov 15 2017 09:15:58 GMT+0600 (Bangladesh Standard Time), Line 35, 40.09 C
Wed Nov 15 2017 09:15:59 GMT+0600 (Bangladesh Standard Time), Line 12, 67.38 %
Wed Nov 15 2017 09:15:59 GMT+0600 (Bangladesh Standard Time), Line 18, 44.11 
Wed Nov 15 2017 09:15:59 GMT+0600 (Bangladesh Standard Time), Line 36, 30.21 C
Wed Nov 15 2017 09:16:00 GMT+0600 (Bangladesh Standard Time), Line 37, 31.45 C
Wed Nov 15 2017 09:16:01 GMT+0600 (Bangladesh Standard Time), Line 19, 68.08 
Wed Nov 15 2017 09:16:01 GMT+0600 (Bangladesh Standard Time), Line 38, 32.20 C
Wed Nov 15 2017 09:16:02 GMT+0600 (Bangladesh Standard Time), Line 13, 60.99 %
Wed Nov 15 2017 09:16:02 GMT+0600 (Bangladesh Standard Time), Line 39, 44.85 C
Wed Nov 15 2017 09:16:03 GMT+0600 (Bangladesh Standard Time), Line 20, 15.76 
Wed Nov 15 2017 09:16:03 GMT+0600 (Bangladesh Standard Time), Line 40, 34.60 C
Wed Nov 15 2017 09:16:04 GMT+0600 (Bangladesh Standard Time), Line 41, 30.03 C
Wed Nov 15 2017 09:16:05 GMT+0600 (Bangladesh Standard Time), Line 14, 59.34 %
Wed Nov 15 2017 09:16:05 GMT+0600 (Bangladesh Standard Time), Line 21, 50.65 
Wed Nov 15 2017 09:16:05 GMT+0600 (Bangladesh Standard Time), Line 42, 37.92 C
Wed Nov 15 2017 09:16:06 GMT+0600 (Bangladesh Standard Time), Line 43, 36.44 C
Wed Nov 15 2017 09:16:07 GMT+0600 (Bangladesh Standard Time), Line 22, 53.43 
Wed Nov 15 2017 09:16:07 GMT+0600 (Bangladesh Standard Time), Line 44, 42.53 C
Wed Nov 15 2017 09:16:08 GMT+0600 (Bangladesh Standard Time), Line 15, 49.97 %
Wed Nov 15 2017 09:16:08 GMT+0600 (Bangladesh Standard Time), Line 45, 33.16 C
Wed Nov 15 2017 09:16:09 GMT+0600 (Bangladesh Standard Time), Line 23, 65.53 
Wed Nov 15 2017 09:16:09 GMT+0600 (Bangladesh Standard Time), Line 46, 43.89 C
Wed Nov 15 2017 09:16:10 GMT+0600 (Bangladesh Standard Time), Line 47, 36.53 C
Wed Nov 15 2017 09:16:11 GMT+0600 (Bangladesh Standard Time), Line 16, 48.54 %
Wed Nov 15 2017 09:16:11 GMT+0600 (Bangladesh Standard Time), Line 24, 45.51 
Wed Nov 15 2017 09:16:11 GMT+0600 (Bangladesh Standard Time), Line 48, 31.65 C
Wed Nov 15 2017 09:16:12 GMT+0600 (Bangladesh Standard Time), Line 49, 34.11 C
Wed Nov 15 2017 09:16:13 GMT+0600 (Bangladesh Standard Time), Line 25, 18.78 
Wed Nov 15 2017 09:16:13 GMT+0600 (Bangladesh Standard Time), Line 50, 36.96 C
Wed Nov 15 2017 09:16:14 GMT+0600 (Bangladesh Standard Time), Line 17, 88.84 %
Wed Nov 15 2017 09:16:14 GMT+0600 (Bangladesh Standard Time), Line 51, 39.33 C
Wed Nov 15 2017 09:16:15 GMT+0600 (Bangladesh Standard Time), Line 26, 11.50 
Wed Nov 15 2017 09:16:15 GMT+0600 (Bangladesh Standard Time), Line 52, 30.79 C
Wed Nov 15 2017 09:16:16 GMT+0600 (Bangladesh Standard Time), Line 53, 30.32 C
Wed Nov 15 2017 09:16:17 GMT+0600 (Bangladesh Standard Time), Line 18, 77.45 %
Wed Nov 15 2017 09:16:17 GMT+0600 (Bangladesh Standard Time), Line 27, 87.30 
Wed Nov 15 2017 09:16:17 GMT+0600 (Bangladesh Standard Time), Line 54, 43.09 C
Wed Nov 15 2017 09:16:18 GMT+0600 (Bangladesh Standard Time), Line 55, 41.19 C
Wed Nov 15 2017 09:16:19 GMT+0600 (Bangladesh Standard Time), Line 28, 72.11 
Wed Nov 15 2017 09:16:19 GMT+0600 (Bangladesh Standard Time), Line 56, 38.35 C
Wed Nov 15 2017 09:16:20 GMT+0600 (Bangladesh Standard Time), Line 19, 49.69 %
Wed Nov 15 2017 09:16:20 GMT+0600 (Bangladesh Standard Time), Line 57, 33.05 C
Wed Nov 15 2017 09:16:21 GMT+0600 (Bangladesh Standard Time), Line 29, 75.89 
Wed Nov 15 2017 09:16:21 GMT+0600 (Bangladesh Standard Time), Line 58, 40.37 C
Wed Nov 15 2017 09:16:22 GMT+0600 (Bangladesh Standard Time), Line 59, 35.71 C
Wed Nov 15 2017 09:16:23 GMT+0600 (Bangladesh Standard Time), Line 20, 61.10 %
Wed Nov 15 2017 09:16:23 GMT+0600 (Bangladesh Standard Time), Line 30, 8.81 
Wed Nov 15 2017 09:16:23 GMT+0600 (Bangladesh Standard Time), Line 60, 43.07 C
Wed Nov 15 2017 09:16:24 GMT+0600 (Bangladesh Standard Time), Line 61, 42.12 C
Wed Nov 15 2017 09:16:25 GMT+0600 (Bangladesh Standard Time), Line 31, 62.38 
Wed Nov 15 2017 09:16:25 GMT+0600 (Bangladesh Standard Time), Line 62, 36.10 C
Wed Nov 15 2017 09:16:26 GMT+0600 (Bangladesh Standard Time), Line 21, 49.80 %
Wed Nov 15 2017 09:16:26 GMT+0600 (Bangladesh Standard Time), Line 63, 33.25 C
Wed Nov 15 2017 09:16:27 GMT+0600 (Bangladesh Standard Time), Line 32, 18.52 
Wed Nov 15 2017 09:16:27 GMT+0600 (Bangladesh Standard Time), Line 64, 35.58 C
Wed Nov 15 2017 09:16:28 GMT+0600 (Bangladesh Standard Time), Line 65, 39.19 C
